CUSTOMER_TAG
INDUS PRIVILEGE  
INDUS MAXIMA  
INDUS CLASSIC  
NON RESIDENT  
INDUS PRIVILEGE MAX  
INDUS SELECT  
INDUS GRANDE SAVINGS  
INDUS EXCLUSIVE SAVINGS  
INDUS EXCLUSIVE  
INDUS SELECT SAVINGS  
INDUS PIONEER  
INDUS PIONEER ADD-ON  
INDUS PIONEER NR  
NON RESIDENT EXCLUSIVE  
INDUS MAXIMA ADD ON  
INDUS COMFORT MAXIMA  
NON RESIDENT SELECT  
INDUS SELECT ADD-ON  
INDUS GRANDE ADD-ON  
INDUS PARTNER  
INDUS EXCLUSIVE ADD-ON  
INDUS MULTIPLIER MAX  
INDUS DIGI-START  
INDUS DELITE  
INDUS PIONEER NR ADD-ON  
INDUS COMFORT EXCLUSIVE  
INDUS COMFORT SELECT  
INDUS NR GRANDE  
KOTAK  IN   
INDUS COMFORT PREMIUM  
INDIE SAVINGS ACCOUNT  
INDUS COMFORT  
INDUS PRIVILEGE PLUS  
NRE PIS  
NON RESIDENT MAXIMA  
INDUS ONLINE SB ACCT-MIN BAL REQUIRED  
UPSTOX  IN   
SAVINGS ACCOUNT-INDUS EXCLUSIVE COMFORT  
INDUS PRIVILEGE ACTIVE  
INDUS DIVA  
SAVINGS ACCOUNT - INDUS EXCLUSIVE  
RESIDENT MAXIMA  
NON RESIDENT EXCLUSIVE SAVINGS  
INDUS PRIVILEGE DOCS/CAS  
PRIVILEGE- SPECIAL SCHEME  
NON RESIDENT EXCLUSIVE-ADDON  
PIONEER GLOBAL ACCOUNT (NR)  
INDUS COMFORT REGULAR  
INDUS PARTNER ADD-ON  
NRO PIS  
INDUS GLOBAL ACCOUNT (NR)  
INDUS COMFORT PIONEER  
NON RESIDENT SELECT SAV-ADDON  
INDUS NR GRANDE ADD-ON  
INDUS COMFORT MAXIMA PLUS  
INDUS MAX ACTIVE  
INDUS GREEN FARMER  
MF BUNDLE  
HEALTH BUNDLE  
SAVINGS ACCOUNT - INDUS EXCLUSIVE NR  
INDUS COMFORT MAX PRIME  
LI BUNDLE  
INDUS  IN  (MOSL)  
NEW YOUNG SAVER  
NON RESIDENT SELECT SAVINGS  
INDUS MULTIPLIER PLUS  
INDUS COMFORT EXCLUSIVE- ADDON  
DEMAT LINKED SB  
SENIOR CITIZEN MAXIMA  
INDUS ADVANTAGE  
INDUS COMFORT PIONEER ADD-ON  
NR MAXIMA ADD ON  
INDUS COMFORT GRANDE  
INDUS COMFORT SELECT- ADD- ON  
INDUS GRANDE COMPLEMENTARY UPGRADE  
SAVINGS ACCOUNT FOR GOLD LOAN CUSTOMERS  
INDUS PRIVILEGE CASA GROUPING ACCOUNT  
INDUS CLASSIC REGULAR  
INDUS COMFORT GRANDE ADD-ON  
THOMAS COOK HOLIDAY ACCOUNT  
YOUNG SAVER  
INDUS COMFORT EASY  
INDUS SENIOR  
INDUS MAXIMA CASA GROUPING ACCOUNT  
TASC REGULAR  
NRE ADDITIONAL BROKER MAPPING  
LEASE RENTAL DISCOUNT-HOLDING  
INDUS MAX ACTIVE ADD ON  
INDUS PROGRESS  
INDUS EMPLOYEE  
INDUS FORCE  
INDUS FLEXI MERCHANT  
INDUS PRIME (TASC)  
INDUS PARTNER COMPLEMENTARY UPGRADE  
INDUS BASIC SPECIAL  
INDUS SOLITAIRE  
INDUS SELECT SUPER SAVER  
INDUS BASIC ACCOUNT  
INDUS COMFORT MAXIMA ADD-ON  
LOAN AGAINST PROPERTY  
INDUS ADVANTAGE PRIME  
FCRA SAVINGS ACCOUNT  
INDUS SELECT ADDON  
INDUS MULTIPLER  
NRO ADDITIONAL BROKER MAPPING  
INDUS LARGE BUSINESS  
INDUS SOLITAIRE ADD-ON  
INDUS PROGRESS ADD ON  
INDUS ZERO-C ACCOUNT  
INDUS PIONEER PRIVATE ADD ON  
 IN  PRIVILEGE  
INDUS MULTIPLIER PLUS ADD ON  
SMC BUNDLED SA ACCOUNT  
INDUS EXCLUSIVE SAV-GRP ADDON  
INDUS COMFORT GRANDE COMPL UPGRADE  
PRIVILEGE   IN   
NON RESIDENT -SHIPPING NRO  
SAVINGS CLASSIC  
MULTI CITY CHEQUE BOOK  
INDUS PIONEER CURRENT ACCOUNT  
SAVINGS ACCOUNT - INDUS EXCLUSIVE ADD-ON  
INDUS MAX  
FOUR  WHEELER LOAN  
INDUS PRIVILEGE(OFD)  
NON RESIDENT -SHIPPING  
INDUS FORCE MAXIMA  
INDUS PRIVILEGE SUPER SAVER  
THREE  WHEELER LOAN  
INDUS PIONEER PRIVATE SAVINGS ACCOUNT  
NGO  
NRE CURRENT ACCOUNT  
SAVINGS ACCOUNT-REGULAR  
PENSION SCHEME  
TEA CURRENT ACCOUNT  
PIONEER GLOBAL BUSINESS ACCOUNT  
INDUS EXIM ADVANTAGE  
NON RESIDENT SELECT -SHIPPING  
INDUS GRANDE BUSINESS ACCOUNT  
INDUS ESTEEM  
REIMBURSEMENT ACCOUNT  
INDUS SELECT CURRENT  
INDUS MERCHANT PLUS  
INDUS BLUE  
INDUS GRANDE - CARE ADD ON  
INDUS PIONEER PRIVATE COMFORT ADD ON  
NON RESIDENT  PREMIUM  
BUSINESS BANKING GROUP  
INDUS COMFORT MAX PRIME ADD-ON  
INDUS GLOBAL ACCOUNT  
INDUS GP EDGE  
LRD  
INDUS CLASSIC SUPER SAVER  
ASBA CURRENT ACCOUNTS  
INDUS SPECIAL  
CORPORATE CURRENT ACCOUNT  
HEAVY  COMMERCIAL  VEHICLE  
